;Dataset;Model;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
1331;esol;SGD;TiceHerbicidesFilter, ZINCDruglikeFilter;1790550582894.2188;1402737526189.8665;78.34112811951411
910;esol;SGD;BeyondRo5Filter, REOSFilter;1534514836595.2134;1202982412930.24;78.39496785833765
1016;esol;SGD;FAF4LeadlikeFilter, PAINSFilter;2375941380966.8745;1864602380672.436;78.47846733969706
1333;esol;SGD;TiceInsecticidesFilter, ZINCBasicFilter;2132473090466.5056;1675620163844.8464;78.57638022894268
1300;esol;SGD;RuleOfThreeFilter, ValenceDiscoveryFilter;2002152237905.24;1580358253799.8164;78.93297142345543
951;esol;SGD;BrenkFilter, FAF4DruglikeFilter;2144032699435.223;1696864433592.484;79.14358927638878
970;esol;SGD;BrenkFilter, RuleOfVeberFilter;3778424695552.372;2998703250336.279;79.3638484807197
1118;esol;SGD;HaoFilter, ZINCBasicFilter;3790088225699.855;3013085569682.42;79.49908789065303
167;esol;SVM;GlaxoFilter, MolecularWeightFilter;1.2799;1.02;79.69570757034047
171;esol;SVM;GlaxoFilter, PAINSFilter;1.2805;1.0213;79.75787952899192
928;esol;SGD;BMSFilter, HaoFilter;2119579477921.859;1698909080387.7856;80.15311990345748
926;esol;SGD;BMSFilter, GlaxoFilter;1552807018819.787;1245562243591.2964;80.2135892287496
306;esol;SVM;MolecularWeightFilter, PAINSFilter;1.2709;1.0215;80.37809444768097
1056;esol;SGD;GlaxoFilter, LINTFilter;3265408386803.039;2629501850995.271;80.52597223741607
1032;esol;SGD;GhoseFilter, InpharmaticaFilter;1779477255279.159;1434573202964.922;80.61767570835687
1200;esol;SGD;MolecularWeightFilter, REOSFilter;1451613717865.758;1174522884966.5237;80.9115311126552
1024;esol;SGD;FAF4LeadlikeFilter, TiceHerbicidesFilter;2476054766215.507;2004967349795.784;80.97427315229581
980;esol;SGD;FAF4DruglikeFilter, GlaxoFilter;3265220857957.061;2644937032305.7563;81.00331179314482
1071;esol;SGD;GlaxoFilter, SureChEMBLFilter;2926369310928.6963;2379281906479.953;81.3049090418761
1104;esol;SGD;HaoFilter, NIBRFilter;1852369112830.2087;1509709490983.2334;81.50154742520887
1057;esol;SGD;GlaxoFilter, LipinskiFilter;1615821050045.5833;1317532800029.0544;81.53952444126695
1043;esol;SGD;GhoseFilter, RuleOfThreeFilter;2676236375809.6177;2185085542736.0476;81.6477035618729
1074;esol;SGD;GlaxoFilter, ValenceDiscoveryFilter;2129361802896.8467;1740850483852.0237;81.75456521685133
1149;esol;SGD;LINTFilter, RuleOfThreeFilter;4153056350514.524;3402397723779.5054;81.92515190307931
982;esol;SGD;FAF4DruglikeFilter, HaoFilter;2837859098634.264;2326299854599.104;81.97376168953029
1041;esol;SGD;GhoseFilter, PfizerFilter;2479456709188.595;2039201225402.8467;82.24387293578428
1156;esol;SGD;LINTFilter, ValenceDiscoveryFilter;1610982431315.6572;1325116283393.5022;82.25516663836652
1312;esol;SGD;RuleOfVeberFilter, TiceHerbicidesFilter;2130248381781.0403;1756182779452.697;82.44028229160782
1096;esol;SGD;GSKFilter, ValenceDiscoveryFilter;1858269344183.17;1540376086725.6248;82.89304731563121
916;esol;SGD;BeyondRo5Filter, SureChEMBLFilter;2554221542607.7056;2120970586804.9473;83.03784739986041
1254;esol;SGD;OpreaFilter, ZINCBasicFilter;1708529433809.2754;1423258148981.5835;83.30310972801554
1042;esol;SGD;GhoseFilter, REOSFilter;1511294750685.4795;1261716194317.6477;83.48577891542135
1256;esol;SGD;PAINSFilter, PfizerFilter;2042745989767.1345;1713508918336.6404;83.88262304369884
1228;esol;SGD;NIHFilter, OpreaFilter;1555709890699.892;1308844356409.7087;84.13164718139564
1309;esol;SGD;RuleOfTwoFilter, ZINCDruglikeFilter;4406980765380.343;3712792431016.6016;84.24798356695733
1161;esol;SGD;LipinskiFilter, NIBRFilter;2318902934070.6777;1963286417357.1812;84.66445009454381
915;esol;SGD;BeyondRo5Filter, RuleOfXuFilter;1508232709505.7751;1284387496310.9712;85.15844327045828
1063;esol;SGD;GlaxoFilter, PAINSFilter;1813178350791.4512;1550269763380.4497;85.50012538500462
1040;esol;SGD;GhoseFilter, PAINSFilter;2300132776335.1133;1979076936092.3987;86.04185621169816
1227;esol;SGD;NIBRFilter, ZINCDruglikeFilter;2850981822943.589;2465226464359.352;86.46938554711825
960;esol;SGD;BrenkFilter, MLSMRFilter;2667124273956.6577;2309174545772.476;86.57918824108012
941;esol;SGD;BMSFilter, RuleOfThreeFilter;4104633087562.425;3570946813917.5903;86.99795420784446
1033;esol;SGD;GhoseFilter, LINTFilter;1728672181873.1748;1510103913982.048;87.3562917143557
1226;esol;SGD;NIBRFilter, ZINCBasicFilter;1645621301663.6404;1437900432453.364;87.3773589950324
1155;esol;SGD;LINTFilter, TiceInsecticidesFilter;1891491538333.0;1653344148001.9197;87.40954503338867
1182;esol;SGD;MLSMRFilter, PAINSFilter;2415183042066.501;2113436998410.7607;87.50628675342314
1095;esol;SGD;GSKFilter, TiceInsecticidesFilter;1682645083262.1594;1473837706109.3132;87.59052760264635
1132;esol;SGD;InpharmaticaFilter, RuleOfVeberFilter;1718362296474.276;1505385919211.4111;87.60585135626822
764;esol;MLP;MolecularWeightFilter, ZINCBasicFilter;1.1582;1.016;87.72056901314093
976;esol;SGD;BrenkFilter, ZINCBasicFilter;3139437994772.993;2763877119121.1606;88.03732144807056
1055;esol;SGD;GlaxoFilter, InpharmaticaFilter;1700511009230.6165;1497564315909.8706;88.06554663750353
1139;esol;SGD;InpharmaticaFilter, ZINCDruglikeFilter;2656495135851.968;2341066283588.389;88.12612724162143
629;esol;MLP;GlaxoFilter, ZINCBasicFilter;1.1519;1.0169;88.28439323406874
