;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
1562;HaoFilter, TiceInsecticidesFilter;0.9745;1.8581;190.66662714532612
1477;GhoseFilter, HaoFilter;1.0123;1.9311;190.76621515115704
1479;GhoseFilter, LINTFilter;1.0016;1.9135;191.0528432542555
1462;FAF4LeadlikeFilter, PAINSFilter;1.0093;1.9302;191.24382454327704
1393;BMSFilter, TiceInsecticidesFilter;1.0081;1.9294;191.38527436357367
1743;RuleOfThreeFilter, SureChEMBLFilter;1.0222;1.9565;191.39534306536092
1514;GlaxoFilter, RuleOfTwoFilter;1.4123;2.7132;192.11239060829718
1497;GhoseFilter, ZINCBasicFilter;0.9868;1.8969;192.23819921302643
1454;FAF4LeadlikeFilter, InpharmaticaFilter;0.9872;1.8985;192.3136629249379
1420;BrenkFilter, TiceInsecticidesFilter;0.9901;1.9105;192.96309347956648
1685;NIHFilter, TiceInsecticidesFilter;1.0025;1.9391;193.42494468368054
1779;TiceInsecticidesFilter, ZINCBasicFilter;0.9533;1.8467;193.73020231481038
1733;REOSFilter, ZINCBasicFilter;1.1295;2.2003;194.80702791360477
1777;TiceHerbicidesFilter, ZINCDruglikeFilter;1.0636;2.0863;196.14489197104575
1670;NIBRFilter, TiceInsecticidesFilter;0.9789;1.9243;196.56781226982193
1775;TiceHerbicidesFilter, ValenceDiscoveryFilter;1.0491;2.0628;196.62545137235
1464;FAF4LeadlikeFilter, REOSFilter;1.0436;2.0524;196.67879357254557
1452;FAF4LeadlikeFilter, GSKFilter;0.9986;1.9659;196.86465733229954
1638;MLSMRFilter, ValenceDiscoveryFilter;1.0061;1.9811;196.9108326687675
1698;OpreaFilter, TiceInsecticidesFilter;0.9502;1.8737;197.20105190552118
1341;BeyondRo5Filter, FAF4LeadlikeFilter;0.9896;1.952;197.25045118099573
1453;FAF4LeadlikeFilter, HaoFilter;0.97;1.9173;197.64707113573277
1674;NIHFilter, OpreaFilter;0.9502;1.8783;197.66877314529953
1771;SureChEMBLFilter, ValenceDiscoveryFilter;0.9887;1.9549;197.72368126032583
1582;InpharmaticaFilter, TiceInsecticidesFilter;0.9879;1.9542;197.80947001052095
1495;GhoseFilter, TiceInsecticidesFilter;1.0079;1.9946;197.90603608715344
1544;GSKFilter, ZINCDruglikeFilter;1.0166;2.0119;197.91467339980028
1730;REOSFilter, TiceHerbicidesFilter;0.9847;1.9498;198.00785575676215
1555;HaoFilter, REOSFilter;1.0455;2.071;198.08760881732957
1539;GSKFilter, SureChEMBLFilter;0.9677;1.9181;198.21963707562668
1421;BrenkFilter, ValenceDiscoveryFilter;0.9803;1.9436;198.26003171809498
1541;GSKFilter, TiceInsecticidesFilter;1.0018;1.9917;198.8227150314639
1519;GlaxoFilter, TiceInsecticidesFilter;0.9419;1.8731;198.8766084860694
1458;FAF4LeadlikeFilter, MolecularWeightFilter;0.9846;1.9596;199.02071117032364
1577;InpharmaticaFilter, RuleOfTwoFilter;1.3462;2.6794;199.03753477472108
1754;RuleOfTwoFilter, ZINCBasicFilter;1.348;2.6903;199.58231361550398
1419;BrenkFilter, TiceHerbicidesFilter;1.0396;2.0765;199.7445950435195
1424;FAF4DruglikeFilter, FAF4LeadlikeFilter;0.9836;1.9685;200.12916288876693
1445;FAF4DruglikeFilter, TiceHerbicidesFilter;1.0446;2.0907;200.1405787673057
1467;FAF4LeadlikeFilter, RuleOfVeberFilter;0.9805;1.9698;200.8946260262275
1559;HaoFilter, RuleOfXuFilter;1.0299;2.0699;200.98115002267974
1382;BMSFilter, OpreaFilter;0.9302;1.8727;201.32310215018575
1459;FAF4LeadlikeFilter, NIBRFilter;0.9481;1.9092;201.36725959067186
1706;PAINSFilter, RuleOfTwoFilter;1.374;2.7743;201.9147219638751
1456;FAF4LeadlikeFilter, LipinskiFilter;0.9713;1.9618;201.97173453666613
1774;TiceHerbicidesFilter, TiceInsecticidesFilter;1.0292;2.0787;201.9748102441703
1474;FAF4LeadlikeFilter, ZINCDruglikeFilter;0.973;1.9656;202.0145533916868
1485;GhoseFilter, OpreaFilter;0.943;1.9089;202.42916575514488
1398;BrenkFilter, FAF4LeadlikeFilter;0.949;1.9216;202.4797260040305
1432;FAF4DruglikeFilter, MLSMRFilter;0.9064;1.8408;203.09616895152885
1699;OpreaFilter, ValenceDiscoveryFilter;0.9985;2.0314;203.4531122288549
1486;GhoseFilter, PAINSFilter;1.0454;2.1277;203.527373787318
1619;LipinskiFilter, TiceHerbicidesFilter;1.0288;2.1027;204.38457952293749
1602;LINTFilter, ValenceDiscoveryFilter;1.0102;2.0742;205.3263536114269
1359;BeyondRo5Filter, RuleOfTwoFilter;1.3535;2.7813;205.48326636397167
1574;InpharmaticaFilter, PfizerFilter;1.1184;2.3092;206.4703543209367
1473;FAF4LeadlikeFilter, ZINCBasicFilter;0.9322;1.926;206.61309857759048
1363;BeyondRo5Filter, TiceHerbicidesFilter;0.9937;2.0532;206.6348647627225
1653;MolecularWeightFilter, TiceHerbicidesFilter;1.0145;2.0976;206.7672655657475
1471;FAF4LeadlikeFilter, TiceInsecticidesFilter;0.9903;2.0492;206.93405904241513
1557;HaoFilter, RuleOfTwoFilter;1.3473;2.7931;207.31819109177812
1576;InpharmaticaFilter, RuleOfThreeFilter;0.9859;2.0483;207.75237639717915
1370;BMSFilter, FAF4LeadlikeFilter;0.9205;1.9129;207.81537576229678
1649;MolecularWeightFilter, RuleOfTwoFilter;1.3462;2.798;207.8467081341817
1749;RuleOfTwoFilter, RuleOfVeberFilter;1.3443;2.7958;207.97236026795036
1536;GSKFilter, RuleOfTwoFilter;1.3368;2.7843;208.28258023458122
1460;FAF4LeadlikeFilter, NIHFilter;0.9179;1.9141;208.52993625289665
1388;BMSFilter, RuleOfTwoFilter;1.257;2.6216;208.55612225826297
1723;PfizerFilter, ValenceDiscoveryFilter;1.0307;2.1515;208.7440049142071
1440;FAF4DruglikeFilter, RuleOfThreeFilter;1.1986;2.5026;208.79739358605391
1472;FAF4LeadlikeFilter, ValenceDiscoveryFilter;0.9404;1.965;208.9476589996766
1615;LipinskiFilter, RuleOfTwoFilter;1.3318;2.7893;209.43391293866696
1595;LINTFilter, RuleOfThreeFilter;1.0127;2.1228;209.61165404496887
1765;RuleOfXuFilter, TiceInsecticidesFilter;0.9169;1.9301;210.50925654075567
1455;FAF4LeadlikeFilter, LINTFilter;0.9453;1.9927;210.80157213914154
1596;LINTFilter, RuleOfTwoFilter;1.2243;2.5886;211.44139760976896
1457;FAF4LeadlikeFilter, MLSMRFilter;0.8822;1.8726;212.26680589677179
1769;SureChEMBLFilter, TiceHerbicidesFilter;0.9682;2.0572;212.47914800235552
1531;GSKFilter, OpreaFilter;0.946;2.0116;212.6356335273508
1540;GSKFilter, TiceHerbicidesFilter;0.9421;2.0134;213.7140010509627
1636;MLSMRFilter, TiceHerbicidesFilter;0.9648;2.0642;213.95673730888092
1524;GSKFilter, InpharmaticaFilter;0.983;2.1126;214.92894988272047
1476;GhoseFilter, GSKFilter;0.9691;2.0854;215.1812373115764
1430;FAF4DruglikeFilter, LINTFilter;0.8551;1.8405;215.22424934686632
