;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
994;FAF4DruglikeFilter, RuleOfThreeFilter;2309403847760.892;3083782875400.812;133.53155527088637
1017;FAF4LeadlikeFilter, PfizerFilter;2252906275572.684;3020700562020.189;134.08016990197842
1306;RuleOfTwoFilter, TiceHerbicidesFilter;1091161315633.803;1467826781340.0964;134.51968653118047
1128;InpharmaticaFilter, PfizerFilter;1075277881919.9446;1452891267930.5967;135.1177488498518
1060;GlaxoFilter, NIBRFilter;1704710631090.3098;2329896726945.001;136.67403044555607
1198;MolecularWeightFilter, PAINSFilter;2023893421728.906;2771552504773.0425;136.94162326025304
1240;NIHFilter, ValenceDiscoveryFilter;1611091108732.785;2271338664631.4014;140.98139157492707
1190;MLSMRFilter, TiceHerbicidesFilter;1505035552432.4468;2135204748469.3665;141.87071827096952
1234;NIHFilter, RuleOfTwoFilter;2344122572702.9863;3334232409851.887;142.23797205310873
973;BrenkFilter, TiceHerbicidesFilter;1469481289428.251;2090864822343.5095;142.2859098231205
1169;LipinskiFilter, RuleOfTwoFilter;5484493903880.239;7827914603235.634;142.7281120268443
1171;LipinskiFilter, RuleOfXuFilter;1851127267203.994;2659723528560.5024;143.68128954082343
1091;GSKFilter, RuleOfVeberFilter;2497001427153.708;3589494301583.6987;143.75219263191633
1212;NIBRFilter, NIHFilter;2933209519600.266;4257921802447.8735;145.16255228259786
1186;MLSMRFilter, RuleOfTwoFilter;1966893756349.5051;2866146392443.5244;145.7194311177745
1330;TiceHerbicidesFilter, ZINCBasicFilter;1541873474203.5193;2309537638492.123;149.78775347861495
1148;LINTFilter, REOSFilter;1275841241343.787;1916081763876.216;150.18183311413352
1231;NIHFilter, REOSFilter;1775428112490.4675;2708800333193.4736;152.57167069376442
1314;RuleOfVeberFilter, ValenceDiscoveryFilter;1425597634765.9587;2182278623157.7976;153.078159639067
1241;NIHFilter, ZINCBasicFilter;1500820275596.1443;2302761033568.275;153.4334970690338
1282;REOSFilter, RuleOfXuFilter;1746193288421.928;2691352308954.775;154.12682701277632
929;BMSFilter, InpharmaticaFilter;2741579892511.204;4246211875999.012;154.8819309478379
1325;SureChEMBLFilter, ValenceDiscoveryFilter;1504680868303.0764;2345024695158.792;155.8486416992478
1272;PfizerFilter, RuleOfVeberFilter;2034409832176.4348;3175011790422.988;156.0654957622931
1099;HaoFilter, InpharmaticaFilter;1982014196429.2383;3120227136439.495;157.4270831188213
1068;GlaxoFilter, RuleOfTwoFilter;2157932279903.183;3416942405436.853;158.3433566131258
1070;GlaxoFilter, RuleOfXuFilter;1397893317483.6072;2239650890261.287;160.21615256684643
1220;NIBRFilter, RuleOfVeberFilter;1858796943760.5908;3008666438370.92;161.86095250856135
912;BeyondRo5Filter, RuleOfThreeFilter;3638843681288.4263;5890923399110.053;161.88998250741616
1025;FAF4LeadlikeFilter, TiceInsecticidesFilter;1777139798547.1191;2893975342494.623;162.84455195143119
1168;LipinskiFilter, RuleOfThreeFilter;3351687057924.515;5496919195712.697;164.00454758197463
1244;OpreaFilter, PfizerFilter;1255391487766.1016;2092364600694.933;166.6702874031891
942;BMSFilter, RuleOfTwoFilter;2036571702363.876;3422044837118.2847;168.02967620272202
1270;PfizerFilter, RuleOfThreeFilter;3342807544797.9893;5648298759054.423;168.96870918710812
1199;MolecularWeightFilter, PfizerFilter;1730765849071.583;2931977233838.548;169.4034600585237
1066;GlaxoFilter, RuleOfFourFilter;7645059794.8176;13013475676.156;170.22071802469839
1292;RuleOfFourFilter, ZINCBasicFilter;7645059794.8176;13013475676.156;170.22071802469839
