;Filters;Baseline RMSE;Predicted RMSE;Ratio [%]
516;BrenkFilter, NIBRFilter;1.2523;1.5932;127.2199052159249
775;NIBRFilter, RuleOfXuFilter;1.4501;1.8469;127.36840878231348
591;GhoseFilter, NIBRFilter;1.1057;1.4188;128.31230286580453
485;BMSFilter, LipinskiFilter;1.1661;1.497;128.38257036582263
716;LipinskiFilter, NIHFilter;1.1661;1.497;128.38257036582263
497;BMSFilter, RuleOfVeberFilter;1.1654;1.4963;128.3968534694625
789;NIHFilter, RuleOfVeberFilter;1.1654;1.4963;128.3968534694625
456;BeyondRo5Filter, LipinskiFilter;1.2137;1.5587;128.42009433651032
724;LipinskiFilter, RuleOfVeberFilter;1.1944;1.5347;128.49480598893618
815;PAINSFilter, RuleOfVeberFilter;1.1815;1.5242;128.99744950714108
783;NIHFilter, PAINSFilter;1.1691;1.5112;129.2627517781195
491;BMSFilter, PAINSFilter;1.1691;1.5112;129.2627517781195
675;InpharmaticaFilter, LipinskiFilter;1.2408;1.6076;129.55891234148132
871;RuleOfXuFilter, SureChEMBLFilter;1.3422;1.7458;130.06426672216512
654;HaoFilter, LINTFilter;1.1404;1.4931;130.9225355178923
453;BeyondRo5Filter, HaoFilter;1.0608;1.3891;130.94131403212893
681;InpharmaticaFilter, PAINSFilter;1.2195;1.5984;131.06565759207257
468;BeyondRo5Filter, RuleOfVeberFilter;1.1954;1.5675;131.1261874588793
780;NIBRFilter, ZINCBasicFilter;1.2;1.5759;131.3241981770204
655;HaoFilter, LipinskiFilter;1.0582;1.3938;131.718797742603
657;HaoFilter, MolecularWeightFilter;1.0582;1.3938;131.718797742603
666;HaoFilter, RuleOfVeberFilter;1.0582;1.3938;131.718797742603
525;BrenkFilter, RuleOfXuFilter;1.4473;1.9089;131.889683408898
864;RuleOfVeberFilter, RuleOfXuFilter;1.3689;1.8059;131.9236340519243
678;InpharmaticaFilter, NIBRFilter;1.2484;1.6545;132.52776538483027
586;GhoseFilter, InpharmaticaFilter;1.1243;1.5058;133.93135346565214
601;GhoseFilter, SureChEMBLFilter;1.0847;1.4629;134.86970003143261
583;GhoseFilter, GlaxoFilter;0.9315;1.2639;135.68960674181145
758;MolecularWeightFilter, RuleOfVeberFilter;1.1829;1.6152;136.54566895575903
469;BeyondRo5Filter, RuleOfXuFilter;1.3598;1.8613;136.88183027734863
605;GhoseFilter, ZINCBasicFilter;0.9161;1.2541;136.89709550747335
661;HaoFilter, PAINSFilter;1.0617;1.4546;137.00754026355875
663;HaoFilter, REOSFilter;1.2939;1.7768;137.32681481820163
876;RuleOfXuFilter, ZINCDruglikeFilter;1.2724;1.7484;137.41401207417056
624;GlaxoFilter, RuleOfXuFilter;1.3133;1.8052;137.44783796835182
816;PAINSFilter, RuleOfXuFilter;1.3728;1.8935;137.92875422216542
715;LipinskiFilter, NIBRFilter;1.2003;1.6577;138.10406826516643
459;BeyondRo5Filter, NIBRFilter;1.2085;1.6715;138.30802950561772
587;GhoseFilter, LINTFilter;1.0369;1.4465;139.50151744563595
804;OpreaFilter, SureChEMBLFilter;1.4723;2.0576;139.75094641492083
725;LipinskiFilter, RuleOfXuFilter;1.3219;1.8504;139.97799259268038
759;MolecularWeightFilter, RuleOfXuFilter;1.3392;1.8773;140.18418322516266
875;RuleOfXuFilter, ZINCBasicFilter;1.2965;1.818;140.23229409438747
536;FAF4DruglikeFilter, HaoFilter;1.1211;1.5748;140.47375430338028
749;MolecularWeightFilter, NIBRFilter;1.2128;1.7117;141.1290898768405
658;HaoFilter, NIBRFilter;1.1399;1.6115;141.37313167105856
774;NIBRFilter, RuleOfVeberFilter;1.1905;1.692;142.12184361341104
811;PAINSFilter, REOSFilter;1.108;1.5761;142.24232008400864
479;BMSFilter, GhoseFilter;0.9639;1.3737;142.50500147179227
592;GhoseFilter, NIHFilter;0.9639;1.3737;142.50500147179227
448;BeyondRo5Filter, FAF4DruglikeFilter;1.1049;1.5748;142.52862660427195
653;HaoFilter, InpharmaticaFilter;1.1127;1.5885;142.76651714730082
556;FAF4DruglikeFilter, ZINCBasicFilter;1.0859;1.5524;142.96699758214893
589;GhoseFilter, MLSMRFilter;1.1956;1.7119;143.18641291994086
541;FAF4DruglikeFilter, MolecularWeightFilter;1.1003;1.576;143.23395000363197
539;FAF4DruglikeFilter, LipinskiFilter;1.1003;1.576;143.23395000363197
464;BeyondRo5Filter, REOSFilter;1.0982;1.5925;145.0097804617979
498;BMSFilter, RuleOfXuFilter;1.2942;1.8773;145.05770534280737
790;NIHFilter, RuleOfXuFilter;1.2942;1.8773;145.05770534280737
842;REOSFilter, ZINCDruglikeFilter;1.0985;1.5937;145.07485634943646
557;FAF4DruglikeFilter, ZINCDruglikeFilter;1.0834;1.5718;145.0750140410902
550;FAF4DruglikeFilter, RuleOfVeberFilter;1.0834;1.5718;145.0750140410902
768;NIBRFilter, PAINSFilter;1.2052;1.7566;145.75592916376092
754;MolecularWeightFilter, REOSFilter;1.0888;1.5917;146.18086077302266
720;LipinskiFilter, REOSFilter;1.0888;1.5917;146.18086077302266
835;REOSFilter, RuleOfVeberFilter;1.0795;1.5816;146.51182116864015
488;BMSFilter, NIBRFilter;1.1757;1.7231;146.56086462237727
766;NIBRFilter, NIHFilter;1.1757;1.7231;146.56086462237727
542;FAF4DruglikeFilter, NIBRFilter;1.1232;1.6465;146.59526408911339
534;FAF4DruglikeFilter, GlaxoFilter;1.0984;1.6124;146.8038725062413
699;LINTFilter, OpreaFilter;1.3973;2.0899;149.5689940455692
841;REOSFilter, ZINCBasicFilter;1.05;1.5863;151.06847251806306
619;GlaxoFilter, REOSFilter;1.0626;1.6138;151.87853142472443
545;FAF4DruglikeFilter, PAINSFilter;1.043;1.5861;152.06646332448872
670;HaoFilter, TiceInsecticidesFilter;1.1002;1.6969;154.2366890741387
544;FAF4DruglikeFilter, OpreaFilter;1.3104;2.0299;154.9075888562113
809;OpreaFilter, ZINCDruglikeFilter;1.3123;2.0378;155.28732352235514
738;MLSMRFilter, REOSFilter;1.2814;1.9923;155.4814148499993
596;GhoseFilter, REOSFilter;1.0367;1.6127;155.568845595101
537;FAF4DruglikeFilter, InpharmaticaFilter;1.1092;1.7312;156.08509241591145
888;TiceInsecticidesFilter, ZINCDruglikeFilter;1.0886;1.7008;156.230678323837
635;GSKFilter, MLSMRFilter;1.0679;1.6772;157.0534201298591
472;BeyondRo5Filter, TiceInsecticidesFilter;1.0932;1.719;157.25157305868723
728;LipinskiFilter, TiceInsecticidesFilter;1.0932;1.719;157.25157305868723
762;MolecularWeightFilter, TiceInsecticidesFilter;1.0932;1.719;157.25157305868723
785;NIHFilter, REOSFilter;1.1579;1.8275;157.82534615805562
493;BMSFilter, REOSFilter;1.1579;1.8275;157.82534615805562
533;FAF4DruglikeFilter, GhoseFilter;0.9464;1.4998;158.46720221154575
837;REOSFilter, SureChEMBLFilter;1.2271;1.947;158.66677297461996
702;LINTFilter, REOSFilter;1.2369;1.9728;159.49211765964174
878;SureChEMBLFilter, TiceInsecticidesFilter;1.1992;1.9212;160.2151354956833
819;PAINSFilter, TiceInsecticidesFilter;1.0791;1.7317;160.46728418952023
867;RuleOfVeberFilter, TiceInsecticidesFilter;1.0659;1.7164;161.02629518160188
509;BrenkFilter, GSKFilter;1.0537;1.7055;161.85978461120095
603;GhoseFilter, TiceInsecticidesFilter;1.0648;1.7268;162.17094858687332
607;GlaxoFilter, GSKFilter;0.9642;1.5772;163.57036240773732
735;MLSMRFilter, OpreaFilter;1.3772;2.2528;163.57495092349734
633;GSKFilter, LINTFilter;1.0094;1.6587;164.32452011939094
839;REOSFilter, TiceInsecticidesFilter;1.0627;1.7542;165.0724083983821
652;GSKFilter, ZINCDruglikeFilter;0.9667;1.5982;165.33108421941262
