;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
56;"BrenkFilter;FAF4LeadlikeFilter";79.796;-20.9467;73.7497
206;"HaoFilter;RuleOfXuFilter";79.796;-21.0093;73.6712
194;"HaoFilter;LINTFilter";79.796;-21.0496;73.6208
331;"OpreaFilter;TiceHerbicidesFilter";79.796;-21.0719;73.5927
93;"FAF4DruglikeFilter;OpreaFilter";79.796;-21.3762;73.2115
160;"GlaxoFilter;OpreaFilter";79.796;-21.6446;72.8751
279;"MLSMRFilter;TiceInsecticidesFilter";79.796;-21.6804;72.8302
381;"RuleOfXuFilter;TiceInsecticidesFilter";79.796;-21.7028;72.8022
86;"FAF4DruglikeFilter;InpharmaticaFilter";79.796;-21.7475;72.7461
272;"MLSMRFilter;PfizerFilter";79.796;-21.7743;72.7125
113;"FAF4LeadlikeFilter;MLSMRFilter";79.796;-22.0025;72.4266
326;"OpreaFilter;PfizerFilter";79.796;-22.0786;72.3312
184;"GSKFilter;REOSFilter";79.796;-22.168;72.2191
123;"FAF4LeadlikeFilter;SureChEMBLFilter";79.796;-22.3515;71.9892
273;"MLSMRFilter;REOSFilter";79.796;-22.3694;71.9668
190;"GSKFilter;ValenceDiscoveryFilter";79.796;-22.4499;71.8659
246;"LINTFilter;TiceInsecticidesFilter";79.796;-22.517;71.7818
84;"FAF4DruglikeFilter;GSKFilter";79.796;-22.6825;71.5743
192;"GSKFilter;ZINCDruglikeFilter";79.796;-22.6825;71.5743
233;"LINTFilter;MLSMRFilter";79.796;-22.687;71.5687
228;"InpharmaticaFilter;TiceInsecticidesFilter";79.796;-22.696;71.5575
100;"FAF4DruglikeFilter;SureChEMBLFilter";79.796;-22.7586;71.479
99;"FAF4DruglikeFilter;RuleOfXuFilter";79.796;-22.7675;71.4678
89;"FAF4DruglikeFilter;MLSMRFilter";79.796;-22.8168;71.4061
327;"OpreaFilter;REOSFilter";79.796;-22.8257;71.3949
332;"OpreaFilter;TiceInsecticidesFilter";79.796;-22.8481;71.3669
183;"GSKFilter;PfizerFilter";79.796;-22.9375;71.2548
141;"GhoseFilter;PfizerFilter";79.796;-22.9375;71.2548
250;"LipinskiFilter;MLSMRFilter";79.796;-22.9778;71.2043
60;"BrenkFilter;HaoFilter";79.796;-23.0762;71.081
278;"MLSMRFilter;TiceHerbicidesFilter";79.796;-23.0762;71.081
335;"OpreaFilter;ZINCDruglikeFilter";79.796;-23.0897;71.0641
119;"FAF4LeadlikeFilter;PfizerFilter";79.796;-23.1165;71.0305
193;"HaoFilter;InpharmaticaFilter";79.796;-23.4655;70.5932
270;"MLSMRFilter;OpreaFilter";79.796;-23.5594;70.4754
280;"MLSMRFilter;ValenceDiscoveryFilter";79.796;-23.6086;70.4138
132;"GhoseFilter;InpharmaticaFilter";79.796;-23.6623;70.3465
173;"GSKFilter;HaoFilter";79.796;-23.6802;70.3241
174;"GSKFilter;InpharmaticaFilter";79.796;-23.7205;70.2736
131;"GhoseFilter;HaoFilter";79.796;-23.8144;70.1559
142;"GhoseFilter;REOSFilter";79.796;-23.8681;70.0886
64;"BrenkFilter;MLSMRFilter";79.796;-23.9397;69.9989
281;"MLSMRFilter;ZINCBasicFilter";79.796;-23.9934;69.9316
11;"BeyondRo5Filter;MLSMRFilter";79.796;-24.0515;69.8587
38;"BMSFilter;MLSMRFilter";79.796;-24.0515;69.8587
269;"MLSMRFilter;NIHFilter";79.796;-24.0515;69.8587
267;"MLSMRFilter;MolecularWeightFilter";79.796;-24.0515;69.8587
156;"GlaxoFilter;MLSMRFilter";79.796;-24.0515;69.8587
268;"MLSMRFilter;NIBRFilter";79.796;-24.0515;69.8587
275;"MLSMRFilter;RuleOfVeberFilter";79.796;-24.0739;69.8307
