;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
692;"InpharmaticaFilter;RuleOfFourFilter";82.8586;-20.5781;75.1647
768;"MolecularWeightFilter;RuleOfTwoFilter";82.8586;-20.7593;74.9461
747;"MLSMRFilter;PfizerFilter";82.8586;-21.2981;74.2958
863;"RuleOfThreeFilter;SureChEMBLFilter";82.8586;-21.588;73.9459
874;"RuleOfTwoFilter;ZINCBasicFilter";82.8586;-21.8284;73.6558
751;"MLSMRFilter;RuleOfTwoFilter";82.8586;-21.8647;73.6121
825;"PAINSFilter;RuleOfTwoFilter";82.8586;-22.244;73.1543
844;"REOSFilter;RuleOfThreeFilter";82.8586;-23.2514;71.9384
856;"RuleOfFourFilter;TiceInsecticidesFilter";82.8586;-23.6368;71.4733
529;"BrenkFilter;RuleOfThreeFilter";82.8586;-23.6501;71.4573
555;"FAF4DruglikeFilter;RuleOfFourFilter";82.8586;-23.6682;71.4354
714;"LINTFilter;RuleOfTwoFilter";82.8586;-24.5041;70.4266
866;"RuleOfThreeFilter;ValenceDiscoveryFilter";82.8586;-25.0719;69.7414
530;"BrenkFilter;RuleOfTwoFilter";82.8586;-25.9199;68.7179
857;"RuleOfFourFilter;ValenceDiscoveryFilter";82.8586;-27.1134;67.2775
750;"MLSMRFilter;RuleOfThreeFilter";82.8586;-27.7899;66.4611
528;"BrenkFilter;RuleOfFourFilter";82.8586;-27.8478;66.3911
854;"RuleOfFourFilter;RuleOfXuFilter";82.8586;-28.5485;65.5455
731;"LipinskiFilter;RuleOfFourFilter";82.8586;-29.4049;64.5119
859;"RuleOfFourFilter;ZINCDruglikeFilter";82.8586;-30.4631;63.2348
835;"PfizerFilter;RuleOfThreeFilter";82.8586;-30.7712;62.863
823;"PAINSFilter;RuleOfFourFilter";82.8586;-34.8904;57.8916
749;"MLSMRFilter;RuleOfFourFilter";82.8586;-35.852;56.7311
