;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
1190;"TiceHerbicidesFilter;TiceInsecticidesFilter";59.4958;-8.7979;85.2126
1079;"MLSMRFilter;TiceInsecticidesFilter";59.4958;-8.7979;85.2126
898;"FAF4DruglikeFilter;RuleOfVeberFilter";59.4958;-8.8158;85.1825
855;"BrenkFilter;FAF4DruglikeFilter";59.4958;-8.8627;85.1036
1009;"HaoFilter;TiceInsecticidesFilter";59.4958;-8.8627;85.1036
963;"GlaxoFilter;REOSFilter";59.4958;-8.8873;85.0622
1196;"TiceInsecticidesFilter;ZINCDruglikeFilter";59.4958;-8.8873;85.0622
1010;"HaoFilter;ValenceDiscoveryFilter";59.4958;-8.9724;84.9194
1031;"InpharmaticaFilter;ZINCDruglikeFilter";59.4958;-8.997;84.878
842;"BMSFilter;OpreaFilter";59.4958;-9.0171;84.8442
1085;"MolecularWeightFilter;OpreaFilter";59.4958;-9.0171;84.8442
899;"FAF4DruglikeFilter;RuleOfXuFilter";59.4958;-9.0171;84.8442
1112;"NIHFilter;OpreaFilter";59.4958;-9.0171;84.8442
1134;"OpreaFilter;ZINCBasicFilter";59.4958;-9.0171;84.8442
1129;"OpreaFilter;RuleOfXuFilter";59.4958;-9.0171;84.8442
1128;"OpreaFilter;RuleOfVeberFilter";59.4958;-9.0171;84.8442
1125;"OpreaFilter;PAINSFilter";59.4958;-9.0171;84.8442
893;"FAF4DruglikeFilter;OpreaFilter";59.4958;-9.0171;84.8442
815;"BeyondRo5Filter;OpreaFilter";59.4958;-9.0171;84.8442
1054;"LipinskiFilter;OpreaFilter";59.4958;-9.0171;84.8442
859;"BrenkFilter;GSKFilter";59.4958;-9.0372;84.8103
857;"BrenkFilter;GhoseFilter";59.4958;-9.0372;84.8103
924;"FAF4LeadlikeFilter;TiceHerbicidesFilter";59.4958;-9.0372;84.8103
1133;"OpreaFilter;ValenceDiscoveryFilter";59.4958;-9.082;84.7351
1131;"OpreaFilter;TiceHerbicidesFilter";59.4958;-9.082;84.7351
880;"BrenkFilter;ZINCDruglikeFilter";59.4958;-9.1267;84.6599
1003;"HaoFilter;REOSFilter";59.4958;-9.1468;84.6261
975;"GSKFilter;LINTFilter";59.4958;-9.1468;84.6261
974;"GSKFilter;InpharmaticaFilter";59.4958;-9.1468;84.6261
871;"BrenkFilter;REOSFilter";59.4958;-9.1513;84.6186
901;"FAF4DruglikeFilter;TiceHerbicidesFilter";59.4958;-9.1916;84.5509
900;"FAF4DruglikeFilter;SureChEMBLFilter";59.4958;-9.1916;84.5509
1193;"TiceHerbicidesFilter;ZINCDruglikeFilter";59.4958;-9.1916;84.5509
952;"GlaxoFilter;HaoFilter";59.4958;-9.2363;84.4757
1151;"PfizerFilter;TiceHerbicidesFilter";59.4958;-9.2564;84.4419
987;"GSKFilter;SureChEMBLFilter";59.4958;-9.2564;84.4419
1184;"RuleOfXuFilter;ZINCDruglikeFilter";59.4958;-9.281;84.4005
1078;"MLSMRFilter;TiceHerbicidesFilter";59.4958;-9.3213;84.3328
932;"GhoseFilter;InpharmaticaFilter";59.4958;-9.3213;84.3328
1194;"TiceInsecticidesFilter;ValenceDiscoveryFilter";59.4958;-9.3661;84.2576
1147;"PfizerFilter;REOSFilter";59.4958;-9.3661;84.2576
896;"FAF4DruglikeFilter;REOSFilter";59.4958;-9.3661;84.2576
856;"BrenkFilter;FAF4LeadlikeFilter";59.4958;-9.4309;84.1486
884;"FAF4DruglikeFilter;GSKFilter";59.4958;-9.4309;84.1486
992;"GSKFilter;ZINCDruglikeFilter";59.4958;-9.4309;84.1486
973;"GSKFilter;HaoFilter";59.4958;-9.4309;84.1486
1019;"InpharmaticaFilter;OpreaFilter";59.4958;-9.4757;84.0734
887;"FAF4DruglikeFilter;LINTFilter";59.4958;-9.4757;84.0734
1074;"MLSMRFilter;RuleOfFourFilter";59.4958;-9.4958;84.0396
1004;"HaoFilter;RuleOfFourFilter";59.4958;-9.4958;84.0396
951;"GlaxoFilter;GSKFilter";59.4958;-9.5405;83.9644
831;"BMSFilter;GhoseFilter";59.4958;-9.6054;83.8553
943;"GhoseFilter;RuleOfVeberFilter";59.4958;-9.6054;83.8553
833;"BMSFilter;GSKFilter";59.4958;-9.6054;83.8553
948;"GhoseFilter;ValenceDiscoveryFilter";59.4958;-9.6054;83.8553
936;"GhoseFilter;MolecularWeightFilter";59.4958;-9.6054;83.8553
1070;"MLSMRFilter;OpreaFilter";59.4958;-9.6054;83.8553
937;"GhoseFilter;NIBRFilter";59.4958;-9.6054;83.8553
988;"GSKFilter;TiceHerbicidesFilter";59.4958;-9.6054;83.8553
942;"GhoseFilter;REOSFilter";59.4958;-9.6054;83.8553
949;"GhoseFilter;ZINCBasicFilter";59.4958;-9.6054;83.8553
938;"GhoseFilter;NIHFilter";59.4958;-9.6054;83.8553
940;"GhoseFilter;PAINSFilter";59.4958;-9.6054;83.8553
935;"GhoseFilter;MLSMRFilter";59.4958;-9.6054;83.8553
991;"GSKFilter;ZINCBasicFilter";59.4958;-9.6054;83.8553
934;"GhoseFilter;LipinskiFilter";59.4958;-9.6054;83.8553
984;"GSKFilter;REOSFilter";59.4958;-9.6054;83.8553
1072;"MLSMRFilter;PfizerFilter";59.4958;-9.6054;83.8553
976;"GSKFilter;LipinskiFilter";59.4958;-9.6054;83.8553
977;"GSKFilter;MLSMRFilter";59.4958;-9.6054;83.8553
978;"GSKFilter;MolecularWeightFilter";59.4958;-9.6054;83.8553
979;"GSKFilter;NIBRFilter";59.4958;-9.6054;83.8553
980;"GSKFilter;NIHFilter";59.4958;-9.6054;83.8553
982;"GSKFilter;PAINSFilter";59.4958;-9.6054;83.8553
990;"GSKFilter;ValenceDiscoveryFilter";59.4958;-9.6054;83.8553
985;"GSKFilter;RuleOfVeberFilter";59.4958;-9.6054;83.8553
806;"BeyondRo5Filter;GSKFilter";59.4958;-9.6054;83.8553
930;"GhoseFilter;GSKFilter";59.4958;-9.6054;83.8553
1008;"HaoFilter;TiceHerbicidesFilter";59.4958;-9.6054;83.8553
804;"BeyondRo5Filter;GhoseFilter";59.4958;-9.6054;83.8553
946;"GhoseFilter;TiceHerbicidesFilter";59.4958;-9.6054;83.8553
1164;"REOSFilter;ZINCDruglikeFilter";59.4958;-9.6099;83.8478
868;"BrenkFilter;OpreaFilter";59.4958;-9.6501;83.7801
910;"FAF4LeadlikeFilter;InpharmaticaFilter";59.4958;-9.6501;83.7801
1046;"LINTFilter;TiceInsecticidesFilter";59.4958;-9.6747;83.7388
877;"BrenkFilter;TiceInsecticidesFilter";59.4958;-9.6747;83.7388
947;"GhoseFilter;TiceInsecticidesFilter";59.4958;-9.715;83.6711
989;"GSKFilter;TiceInsecticidesFilter";59.4958;-9.715;83.6711
933;"GhoseFilter;LINTFilter";59.4958;-9.715;83.6711
945;"GhoseFilter;SureChEMBLFilter";59.4958;-9.715;83.6711
929;"GhoseFilter;GlaxoFilter";59.4958;-9.715;83.6711
895;"FAF4DruglikeFilter;PfizerFilter";59.4958;-9.715;83.6711
931;"GhoseFilter;HaoFilter";59.4958;-9.715;83.6711
909;"FAF4LeadlikeFilter;HaoFilter";59.4958;-9.8246;83.4869
1127;"OpreaFilter;REOSFilter";59.4958;-9.8694;83.4117
1132;"OpreaFilter;TiceInsecticidesFilter";59.4958;-9.8694;83.4117
944;"GhoseFilter;RuleOfXuFilter";59.4958;-9.8895;83.3778
986;"GSKFilter;RuleOfXuFilter";59.4958;-9.8895;83.3778
983;"GSKFilter;PfizerFilter";59.4958;-9.8895;83.3778
1002;"HaoFilter;PfizerFilter";59.4958;-9.8895;83.3778
941;"GhoseFilter;PfizerFilter";59.4958;-9.8895;83.3778
1007;"HaoFilter;SureChEMBLFilter";59.4958;-9.9253;83.3177
1037;"LINTFilter;OpreaFilter";59.4958;-9.9342;83.3026
1152;"PfizerFilter;TiceInsecticidesFilter";59.4958;-9.9342;83.3026
1126;"OpreaFilter;PfizerFilter";59.4958;-9.9991;83.1936
1167;"RuleOfFourFilter;SureChEMBLFilter";59.4958;-9.9991;83.1936
803;"BeyondRo5Filter;FAF4LeadlikeFilter";59.4958;-10.1087;83.0094
908;"FAF4LeadlikeFilter;GSKFilter";59.4958;-10.1087;83.0094
1155;"PfizerFilter;ZINCDruglikeFilter";59.4958;-10.1087;83.0094
928;"FAF4LeadlikeFilter;ZINCDruglikeFilter";59.4958;-10.1087;83.0094
907;"FAF4LeadlikeFilter;GlaxoFilter";59.4958;-10.1087;83.0094
830;"BMSFilter;FAF4LeadlikeFilter";59.4958;-10.1087;83.0094
912;"FAF4LeadlikeFilter;LipinskiFilter";59.4958;-10.1087;83.0094
923;"FAF4LeadlikeFilter;SureChEMBLFilter";59.4958;-10.1087;83.0094
914;"FAF4LeadlikeFilter;MolecularWeightFilter";59.4958;-10.1087;83.0094
881;"FAF4DruglikeFilter;FAF4LeadlikeFilter";59.4958;-10.1087;83.0094
915;"FAF4LeadlikeFilter;NIBRFilter";59.4958;-10.1087;83.0094
916;"FAF4LeadlikeFilter;NIHFilter";59.4958;-10.1087;83.0094
925;"FAF4LeadlikeFilter;TiceInsecticidesFilter";59.4958;-10.1087;83.0094
918;"FAF4LeadlikeFilter;PAINSFilter";59.4958;-10.1087;83.0094
921;"FAF4LeadlikeFilter;RuleOfVeberFilter";59.4958;-10.1087;83.0094
927;"FAF4LeadlikeFilter;ZINCBasicFilter";59.4958;-10.1087;83.0094
