Dataset,Model,Filter type,Metric,Baseline value,After filter application,Improvement (%),Filter metric R2,Filter metric Accuracy,Baseline metric R2,Baseline metric Accuracy,Mixed metric R2,Mixed metric Accuracy,Mixed metric roc_auc,Rest metric R2,Rest metric Accuracy,Rest metric roc_auc,Notes
bace,GaussianNB,InpharmaticaFilter,ROC-AUC,0.45791355608707207,0.5027322404371585,109.78758627131889,-0.734972678,0.5836065573770491,-1.079872436,0.48284313725490197,-0.912299775,0.5245098039215687,0.49293324635790386,-0.521764775,0.6608527131782945,0.5042467854193701,None
bace,GaussianNB,LINTFilter,ROC-AUC,0.45791355608707207,0.46726190476190477,102.04150948373652,-1.038690476,0.4925925925925926,-1.079872436,0.48284313725490197,-1.030586359,0.4950980392156863,0.46444879321591653,-0.500403719,0.7120115774240231,0.48591895076815644,None
bace,GaussianNB,LipinskiFilter,ROC-AUC,0.45791355608707207,0.4588025050607287,100.19413030294469,-0.814745698,0.592,-1.079872436,0.48284313725490197,-1.060158005,0.4877450980392157,0.456149888,-3.799497172,0.1686746987951807,0.3783783783783784,None
bace,GaussianNB,MLSMRFilter,ROC-AUC,0.45791355608707207,0.5057172557172557,110.43945936841708,-0.403326403,0.73,-1.079872436,0.48284313725490197,-0.912299775,0.5245098039215687,0.4885844748858447,-0.502016282,0.670837344,0.4964387464387464,None
bace,GaussianNB,MolecularWeightFilter,ROC-AUC,0.45791355608707207,0.4470750375310708,97.63306449177487,-1.09829449,0.4827586206896552,-1.079872436,0.48284313725490197,-1.148872943,0.46568627450980393,0.44289821458771234,-4.4,0.25,0.55,None
bace,GaussianNB,NIBRFilter,ROC-AUC,0.45791355608707207,0.46850995528719375,102.31406104040013,-0.892765697,0.5396341463414634,-1.079872436,0.48284313725490197,-0.961585852,0.5122549019607843,0.47970573313039067,-0.643607843,0.6129032258064516,0.5003398692810457,None
bace,GaussianNB,NIHFilter,ROC-AUC,0.45791355608707207,0.4770173453996983,104.17192045500256,-0.684426848,0.6158357771260997,-1.079872436,0.48284313725490197,-0.971443067,0.5098039215686274,0.47524824237153007,-1.355069149,0.41420118343195267,0.445859873,None
bace,GaussianNB,OpreaFilter,ROC-AUC,0.45791355608707207,0.5016886187098953,109.55967824951212,-0.49273894,0.6813725490196079,-1.079872436,0.48284313725490197,-0.872870914,0.5343137254901961,0.4984416902225121,-0.630703043,0.6535819430814525,0.47369029485366115,None
bace,GaussianNB,PAINSFilter,ROC-AUC,0.45791355608707207,0.4497514756135446,98.21754993600246,-1.060577819,0.49242424242424243,-1.079872436,0.48284313725490197,-1.119301297,0.4730392156862745,0.4468000289918098,-1.154882155,0.4666666666666667,0.5117845117845117,None
bace,GaussianNB,PfizerFilter,ROC-AUC,0.45791355608707207,0.45945411392405067,100.33642983844872,-1.590585443,0.46846846846846846,-1.079872436,0.48284313725490197,-1.148872943,0.46568627450980393,0.4848155396100602,-3.735339436,0.47878787878787876,0.5037202442259996,None
