;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
50;"BMSFilter;RuleOfTwoFilter";83.622;-19.1153;77.1409
392;"REOSFilter;RuleOfThreeFilter";83.622;-19.4245;76.7711
411;"RuleOfThreeFilter;SureChEMBLFilter";83.622;-19.9488;76.1441
35;"BMSFilter;GSKFilter";83.622;-20.1517;75.9014
194;"GSKFilter;NIHFilter";83.622;-20.1517;75.9014
343;"NIHFilter;PfizerFilter";83.622;-20.3329;75.6847
46;"BMSFilter;PfizerFilter";83.622;-20.3329;75.6847
279;"LipinskiFilter;RuleOfFourFilter";83.622;-20.3788;75.6298
413;"RuleOfThreeFilter;TiceInsecticidesFilter";83.622;-20.4779;75.5114
154;"GhoseFilter;RuleOfTwoFilter";83.622;-20.5721;75.3987
419;"RuleOfTwoFilter;SureChEMBLFilter";83.622;-20.618;75.3438
20;"BeyondRo5Filter;RuleOfThreeFilter";83.622;-20.6736;75.2774
295;"MLSMRFilter;PfizerFilter";83.622;-20.6808;75.2687
410;"RuleOfThreeFilter;RuleOfXuFilter";83.622;-20.7799;75.1502
36;"BMSFilter;HaoFilter";83.622;-20.9925;74.896
215;"HaoFilter;NIHFilter";83.622;-20.9925;74.896
77;"BrenkFilter;RuleOfThreeFilter";83.622;-21.0287;74.8527
420;"RuleOfTwoFilter;TiceHerbicidesFilter";83.622;-21.0553;74.8209
261;"LINTFilter;RuleOfThreeFilter";83.622;-21.2123;74.6331
174;"GlaxoFilter;PfizerFilter";83.622;-21.3863;74.4251
421;"RuleOfTwoFilter;TiceInsecticidesFilter";83.622;-21.7849;73.9483
416;"RuleOfThreeFilter;ZINCDruglikeFilter";83.622;-22.1787;73.4774
153;"GhoseFilter;RuleOfThreeFilter";83.622;-22.6233;72.9458
299;"MLSMRFilter;RuleOfTwoFilter";83.622;-22.6933;72.862
298;"MLSMRFilter;RuleOfThreeFilter";83.622;-23.6452;71.7237
21;"BeyondRo5Filter;RuleOfTwoFilter";83.622;-23.667;71.6977
359;"OpreaFilter;RuleOfThreeFilter";83.622;-23.9641;71.3423
404;"RuleOfFourFilter;TiceInsecticidesFilter";83.622;-24.1333;71.1401
103;"FAF4DruglikeFilter;RuleOfFourFilter";83.622;-24.213;71.0447
423;"RuleOfTwoFilter;ZINCDruglikeFilter";83.622;-24.4039;70.8165
130;"FAF4LeadlikeFilter;RuleOfTwoFilter";83.622;-24.9571;70.1549
186;"GlaxoFilter;ZINCDruglikeFilter";83.622;-25.1576;69.9151
412;"RuleOfThreeFilter;TiceHerbicidesFilter";83.622;-25.2156;69.8457
78;"BrenkFilter;RuleOfTwoFilter";83.622;-25.4935;69.5135
262;"LINTFilter;RuleOfTwoFilter";83.622;-25.5249;69.4759
355;"NIHFilter;ZINCDruglikeFilter";83.622;-25.6384;69.3401
58;"BMSFilter;ZINCDruglikeFilter";83.622;-25.6384;69.3401
104;"FAF4DruglikeFilter;RuleOfThreeFilter";83.622;-25.7834;69.1668
105;"FAF4DruglikeFilter;RuleOfTwoFilter";83.622;-25.8994;69.0281
129;"FAF4LeadlikeFilter;RuleOfThreeFilter";83.622;-26.1385;68.7421
89;"FAF4DruglikeFilter;GlaxoFilter";83.622;-28.2501;66.2169
31;"BMSFilter;FAF4DruglikeFilter";83.622;-28.8976;65.4426
98;"FAF4DruglikeFilter;NIHFilter";83.622;-28.8976;65.4426
414;"RuleOfThreeFilter;ValenceDiscoveryFilter";83.622;-31.9538;61.7878
405;"RuleOfFourFilter;ValenceDiscoveryFilter";83.622;-33.0313;60.4992
383;"PfizerFilter;RuleOfThreeFilter";83.622;-45.8191;45.2069
