;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
201;"GSKFilter;RuleOfVeberFilter";91.032;-11.5302;87.3339
189;"GSKFilter;LINTFilter";91.032;-11.5777;87.2817
372;"PAINSFilter;REOSFilter";91.032;-11.5777;87.2817
143;"GhoseFilter;LINTFilter";91.032;-11.6014;87.2557
248;"InpharmaticaFilter;TiceInsecticidesFilter";91.032;-11.7675;87.0732
161;"GhoseFilter;ZINCBasicFilter";91.032;-11.981;86.8387
182;"GlaxoFilter;TiceHerbicidesFilter";91.032;-12.0522;86.7605
365;"OpreaFilter;SureChEMBLFilter";91.032;-12.242;86.552
51;"BMSFilter;RuleOfVeberFilter";91.032;-12.2657;86.5259
349;"NIHFilter;RuleOfVeberFilter";91.032;-12.2657;86.5259
227;"HaoFilter;TiceInsecticidesFilter";91.032;-12.2657;86.5259
4;"BeyondRo5Filter;GhoseFilter";91.032;-12.3132;86.4738
140;"GhoseFilter;GSKFilter";91.032;-12.3132;86.4738
146;"GhoseFilter;MolecularWeightFilter";91.032;-12.3132;86.4738
144;"GhoseFilter;LipinskiFilter";91.032;-12.3132;86.4738
436;"RuleOfXuFilter;ValenceDiscoveryFilter";91.032;-12.4081;86.3696
164;"GlaxoFilter;HaoFilter";91.032;-12.4792;86.2914
441;"SureChEMBLFilter;ValenceDiscoveryFilter";91.032;-12.5741;86.1871
266;"LINTFilter;SureChEMBLFilter";91.032;-12.5979;86.1611
302;"MLSMRFilter;RuleOfXuFilter";91.032;-12.6216;86.135
192;"GSKFilter;MolecularWeightFilter";91.032;-12.6928;86.0568
323;"MolecularWeightFilter;ValenceDiscoveryFilter";91.032;-12.7402;86.0047
190;"GSKFilter;LipinskiFilter";91.032;-12.7639;85.9786
150;"GhoseFilter;PAINSFilter";91.032;-12.7877;85.9526
434;"RuleOfXuFilter;TiceHerbicidesFilter";91.032;-12.7877;85.9526
155;"GhoseFilter;RuleOfVeberFilter";91.032;-12.8114;85.9265
17;"BeyondRo5Filter;PfizerFilter";91.032;-12.8351;85.9004
184;"GlaxoFilter;ValenceDiscoveryFilter";91.032;-12.9537;85.7701
198;"GSKFilter;REOSFilter";91.032;-12.9537;85.7701
344;"NIHFilter;PfizerFilter";91.032;-13.0486;85.6659
46;"BMSFilter;PfizerFilter";91.032;-13.0486;85.6659
27;"BeyondRo5Filter;ValenceDiscoveryFilter";91.032;-13.0961;85.6138
147;"GhoseFilter;NIBRFilter";91.032;-13.191;85.5095
205;"GSKFilter;TiceInsecticidesFilter";91.032;-13.3096;85.3792
330;"NIBRFilter;REOSFilter";91.032;-13.3571;85.3271
446;"TiceHerbicidesFilter;ZINCBasicFilter";91.032;-13.4757;85.1968
379;"PAINSFilter;TiceHerbicidesFilter";91.032;-13.5231;85.1446
196;"GSKFilter;PAINSFilter";91.032;-13.5943;85.0665
54;"BMSFilter;TiceHerbicidesFilter";91.032;-13.7129;84.9361
352;"NIHFilter;TiceHerbicidesFilter";91.032;-13.7129;84.9361
345;"NIHFilter;REOSFilter";91.032;-13.7367;84.9101
