Dataset,Model,Filters,Metric,Baseline value,After filter application,Improvement (%),Filter metric R2,Filter metric Accuracy,Baseline metric R2,Baseline metric Accuracy,Mixed metric R2,Mixed metric Accuracy,Mixed metric roc_auc,Rest metric R2,Rest metric Accuracy,Rest metric roc_auc,Notes
bbbp,LogisticRegression,RuleOfTwoFilter,ROC-AUC,0.8362204343939504,0.5416666666666667,64.7755836126199,-0.7,0.8235294117647058,0.024135681669927966,0.7573529411764706,-0.38001014713343517,0.6568627450980392,0.672730786886038,-0.8072633818672141,0.6657754010695187,0.6493197731236934,None
bbbp,LogisticRegression,RuleOfVeberFilter,ROC-AUC,0.8362204343939504,0.8064887493458922,96.44451584472385,0.027594627594627608,0.787292817679558,0.024135681669927966,0.7573529411764706,-0.16315140972675257,0.7107843137254902,0.7938199125413737,-1.0899608865710562,0.6331877729257642,0.6996414602346805,None
bbbp,LogisticRegression,RuleOfXuFilter,ROC-AUC,0.8362204343939504,0.8024904214559386,95.96637303386905,-0.05603448275862055,0.7448979591836735,0.024135681669927966,0.7573529411764706,-0.05472204102341105,0.7377450980392157,0.7990625981493562,0.2682494946066787,0.8473684210526315,0.8439773347695849,None
bbbp,LogisticRegression,SureChEMBLFilter,ROC-AUC,0.8362204343939504,0.8259082048555731,98.76680488610027,-0.11940457203615096,0.7202380952380952,0.024135681669927966,0.7573529411764706,-0.015293179676741486,0.7475490196078431,0.8397236114131091,0.25,0.8512396694214877,0.8897689011325375,None
bbbp,LogisticRegression,TiceHerbicidesFilter,ROC-AUC,0.8362204343939504,0.8364046973803071,100.02203521688516,-0.05853658536585393,0.7511520737327189,0.024135681669927966,0.7573529411764706,-0.09415090237008061,0.7279411764705882,0.7862578821482931,0.24829905632197902,0.851619644723093,0.8445724684979699,None
bbbp,LogisticRegression,TiceInsecticidesFilter,ROC-AUC,0.8362204343939504,0.8032656023222061,96.059073574825,0.015021770682147939,0.8231046931407943,0.024135681669927966,0.7573529411764706,-0.21243748641008953,0.6985294117647058,0.7954144620811289,-0.16227397387626064,0.7112462006079028,0.7881931855157347,None
bbbp,LogisticRegression,ValenceDiscoveryFilter,ROC-AUC,0.8362204343939504,0.7886904761904762,94.31609701837512,-0.4418498168498166,0.6436170212765957,0.024135681669927966,0.7573529411764706,-0.1138653330434154,0.7230392156862745,0.8009470657872484,0.29517658990573936,0.8826205641492265,0.8635579485343833,None
bbbp,LogisticRegression,ZINCBasicFilter,ROC-AUC,0.8362204343939504,0.8117975055025679,97.07936712774988,0.04093910491562758,0.7736842105263158,0.024135681669927966,0.7573529411764706,-0.08429368703341322,0.7303921568627451,0.8105143630257785,-0.6467749012724879,0.6115107913669064,0.7563624396665204,None
bbbp,LogisticRegression,ZINCDruglikeFilter,ROC-AUC,0.8362204343939504,0.8063063063063064,96.4226982674342,0.005952380952380931,0.7784431137724551,0.024135681669927966,0.7573529411764706,-0.20258027107342214,0.7009803921568627,0.7619047619047619,-0.341053748231966,0.6675675675675675,0.7603429985855729,None
bbbp,GradientBoostingClassifier,BeyondRo5Filter,ROC-AUC,0.8282960063781983,0.839237166160243,101.32092388443183,-0.0004797697105387577,0.7544757033248082,-0.05472204102341105,0.7377450980392157,0.014278466333260575,0.7549019607843137,0.8348191635862869,-0.6111111111111107,0.7701149425287356,0.7662037037037037,None
bbbp,GradientBoostingClassifier,BMSFilter,ROC-AUC,0.8282960063781983,0.81236802413273,98.07701810429886,-0.23438914027149305,0.718475073313783,-0.05472204102341105,0.7377450980392157,-0.38001014713343517,0.6568627450980392,0.8193327051774542,-0.4986803673857201,0.6272189349112426,0.8416440862863778,None
bbbp,GradientBoostingClassifier,BrenkFilter,ROC-AUC,0.8282960063781983,0.8646140058891306,104.38466432667424,-0.052682114966073224,0.7430830039525692,-0.05472204102341105,0.7377450980392157,-0.19272305573675474,0.7034313725490197,0.8507646589838371,0.026864692803557633,0.7974193548387096,0.8347569461106579,None
bbbp,GradientBoostingClassifier,FAF4DruglikeFilter,ROC-AUC,0.8282960063781983,0.792364314965528,95.66197456754801,-0.044424861334301013,0.7636986301369864,-0.05472204102341105,0.7377450980392157,-0.2518663477567591,0.6887254901960784,0.8121089125655336,-0.081225530599629,0.7495682210708118,0.8727333608077478,None
bbbp,GradientBoostingClassifier,FAF4LeadlikeFilter,ROC-AUC,0.8282960063781983,0.7614265218282434,91.92686140763277,-0.2133633941381432,0.76875,-0.05472204102341105,0.7377450980392157,-0.7052982532434591,0.5759803921568627,0.7506221159189196,-0.47692765796419967,0.6903225806451613,0.7074835840061539,None
bbbp,GradientBoostingClassifier,GhoseFilter,ROC-AUC,0.8282960063781983,0.8126131088205208,98.10660712632765,-0.062239357935321316,0.784,-0.05472204102341105,0.7377450980392157,-0.2617235630934265,0.6862745098039216,0.836280833997729,0.055897168664234886,0.7822784810126582,0.8336981066527706,None
bbbp,GradientBoostingClassifier,GlaxoFilter,ROC-AUC,0.8282960063781983,0.8069812654648285,97.4266758804536,-0.1854012018381055,0.7308781869688386,-0.05472204102341105,0.7377450980392157,-0.39972457780676995,0.6519607843137255,0.8239230750646276,-0.8243199828657102,0.555956678700361,0.8560184193617477,None
bbbp,GradientBoostingClassifier,GSKFilter,ROC-AUC,0.8282960063781983,0.829947676208064,100.19940574591052,-0.026315789473684292,0.7813765182186235,-0.05472204102341105,0.7377450980392157,-0.15329419439008518,0.7132352941176471,0.814198738856273,0.1663312087666331,0.8163771712158809,0.869590741361959,None
