;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
589;"FAF4LeadlikeFilter;TiceInsecticidesFilter";94.5433;-43.9976;53.463
752;"MLSMRFilter;RuleOfFourFilter";94.5433;-44.1163;53.3375
559;"FAF4DruglikeFilter;RuleOfTwoFilter";94.5433;-44.3535;53.0866
558;"FAF4DruglikeFilter;RuleOfThreeFilter";94.5433;-44.6975;52.7227
591;"FAF4LeadlikeFilter;ZINCBasicFilter";94.5433;-44.7094;52.7102
563;"FAF4DruglikeFilter;TiceHerbicidesFilter";94.5433;-45.089;52.3087
584;"FAF4LeadlikeFilter;RuleOfTwoFilter";94.5433;-45.2788;52.1079
577;"FAF4LeadlikeFilter;NIBRFilter";94.5433;-45.5516;51.8193
599;"GhoseFilter;MLSMRFilter";94.5433;-45.6465;51.7189
532;"BrenkFilter;RuleOfTwoFilter";94.5433;-46.121;51.2171
579;"FAF4LeadlikeFilter;OpreaFilter";94.5433;-46.1447;51.192
536;"BrenkFilter;TiceHerbicidesFilter";94.5433;-46.4294;50.8908
514;"BrenkFilter;FAF4LeadlikeFilter";94.5433;-47.1412;50.138
557;"FAF4DruglikeFilter;RuleOfFourFilter";94.5433;-47.8173;49.4228
502;"BMSFilter;RuleOfFourFilter";94.5433;-49.9407;47.1769
583;"FAF4LeadlikeFilter;RuleOfThreeFilter";94.5433;-55.2313;41.5809
